GRNs	ANN
SIX3	PR_def
ARID3A	PR_def
FOXO1	PR_def
KLF9	PR_def
NR3C1	PR_def
HLF	PR_def
RXRG	PR
RAX2	PR
THRB	PR
RORA	PR
CRX	PR
NRL	PR
EPAS1	PR
NR2E3	PR
DMBX1	PR
BCL6	PR
POU6F2	PR_early
TCF7L2	PR_early
CREB5	PR_early
ATF6	PR_early
GTF2IRD1	PR_early
MEIS1	PR_early
LHX4	PR_early
JUN	PR_early
MYCN	PR_early
MYC	MYC
FOS	MYC
JUND	MYC
TRIM28	MYC
RAD21	MYC
HES6	MYC
YBX1	MYC
ILF3	MYC
SMC3	MYC
HDAC2	MYC
NEUROD1	MYC
ZFHX3	CC
SMAD9	CC
PBX1	CC
LHX9	CC
ZNF367	CC
FOXN4	CC
BRCA1	CC
E2F7	CC
E2F3	CC
AHCTF1	CC
PBX3	CC
NR2F2	Precursors
TBR1	Precursors
NEUROD2	Precursors
EOMES	Precursors
LMX1A	Precursors
SOX4	Precursors
ZIC1	Precursors
BARHL1	Precursors
UNCX	Precursors
NEUROG1	Precursors
SOX11	Precursors
LHX2	Precursors
ZNF423	Precursors
EBF3	UBC_early1
POU2F1	UBC_early1
ZNF704	UBC_early1
SREBF2	UBC_early1
OTX2	UBC_early1
TCF12	UBC_early1
ZBTB20	UBC_early1
RFX3	UBC_early1
TCF4	UBC_early1
NFIA	UBC_early1
CUX1	UBC_early1
KLF12	UBC_early1
FREM1	UBC_early1
EBF1	UBC_early1
ZEB1	UBC_early1
ZNF536	UBC_early1
ETV1	UBC_early1
BACH1	UBC_early1
MEIS2	UBC_early1
LHX1	UBC_early2
SMAD1	UBC_early2
ZIC4	UBC_early2
HNF4G	UBC_early2
PHTF1	UBC_early2
HOXD3	UBC_early2
PLAGL1	UBC_early2
SOX5	UBC_early2
CUX2	UBC_early2
NFIX	UBC_early2
ZBTB18	UBC_early2
NR2F1	UBC_early2
LMX1B	UBC_early2
NFE2L2	UBC_def
MXI1	UBC_def
ALX1	UBC_def
MITF	UBC_def
POU2F2	UBC_def
RFX4	UBC_def
MEF2C	UBC_def
PRRX1	UBC_def
RFX7	UBC_def
BACH2	UBC_def
ZNF385D	UBC_def
TWIST1	UBC_def
SATB2	UBC_def
BHLHE22	UBC_def
ETV5	UBC_def
STAT3	UBC_def
